age;male;wage;public;internet;children;urban;educ;ln_wage
57;0;20000;1;0;4;0;1;9,90
59;1;9800;1;1;1;0;0;9,19
27;1;22000;1;1;0;0;2;10,00
32;0;51500;0;1;0;0;3;10,85
33;0;20000;0;1;0;0;0;9,90
60;1;12000;1;0;2;0;1;9,39
60;0;6000;0;1;2;0;1;8,70
56;1;8000;0;0;2;0;1;8,99
57;1;10700;0;0;0;0;1;9,28
51;0;29000;1;1;1;0;2;10,28
54;1;27000;0;1;1;0;1;10,20
59;0;15000;1;1;2;0;2;9,62
49;0;17000;1;0;2;0;1;9,74
21;1;15000;0;1;0;0;0;9,62
51;0;8000;1;0;2;0;1;8,99
27;1;15000;1;0;0;0;0;9,62
59;1;25000;0;0;2;0;3;10,13
56;0;10000;1;1;2;0;2;9,21
30;0;24000;0;0;2;0;1;10,09
32;0;15000;1;1;2;0;3;9,62
54;0;12000;1;1;2;0;1;9,39
59;1;20000;0;1;2;0;1;9,90
59;1;12000;0;0;2;0;1;9,39
38;1;7000;0;0;5;0;0;8,85
19;1;10000;0;1;0;0;0;9,21
54;1;40000;0;1;2;0;0;10,60
21;0;20000;0;1;0;0;2;9,90
36;0;11000;1;1;3;0;1;9,31
49;0;14000;1;1;2;0;1;9,55
33;1;20000;0;1;0;0;1;9,90
29;1;20000;0;1;4;0;0;9,90
60;0;13000;1;1;2;0;2;9,47
56;0;30000;1;1;3;0;3;10,31
50;1;48000;1;1;3;0;3;10,78
51;0;11000;1;1;2;0;2;9,31
42;0;10000;1;1;1;0;3;9,21
42;1;20000;0;1;1;0;3;9,90
38;0;6000;0;1;2;0;0;8,70
60;0;9700;1;1;3;0;2;9,18
43;0;9350;1;1;3;0;3;9,14
37;1;40000;0;1;2;0;1;10,60
54;0;8500;1;1;3;0;1;9,05
56;0;16430;1;1;2;0;2;9,71
40;0;10000;1;1;1;0;2;9,21
56;0;6500;1;0;2;0;2;8,78
55;1;13000;0;0;2;0;2;9,47
28;1;18000;0;1;0;0;1;9,80
47;1;10000;0;1;2;0;1;9,21
41;0;12000;1;1;2;0;2;9,39
35;1;22000;1;1;1;0;2;10,00
27;0;20000;1;1;1;0;2;9,90
39;0;20000;0;1;2;0;1;9,90
55;0;8000;1;1;2;0;3;8,99
54;1;27000;1;1;2;0;3;10,20
50;0;17000;1;1;2;0;3;9,74
41;0;28000;0;1;2;0;2;10,24
32;0;12000;0;1;1;0;1;9,39
36;1;22000;0;1;1;0;1;10,00
45;0;13000;0;1;2;0;1;9,47
33;0;30000;0;1;2;0;2;10,31
49;1;12000;1;0;0;0;0;9,39
38;1;80000;0;1;2;0;0;11,29
58;0;8700;1;1;1;0;2;9,07
34;0;47;1;1;4;0;0;3,85
39;1;7300;1;1;4;0;0;8,90
37;0;12000;1;1;2;0;2;9,39
52;0;24000;0;1;1;0;2;10,09
50;0;6500;1;1;5;0;1;8,78
34;0;2700;1;1;3;0;3;7,90
41;1;48000;0;1;4;0;3;10,78
36;1;40000;0;1;1;0;1;10,60
37;0;21000;1;1;2;0;3;9,95
18;0;19700;0;1;0;0;1;9,89
35;1;30000;0;1;2;0;3;10,31
29;0;14600;0;1;2;0;3;9,59
47;0;13000;1;1;2;0;2;9,47
53;1;15000;1;0;2;0;1;9,62
30;1;23000;0;1;1;0;0;10,04
53;0;21000;1;1;2;0;2;9,95
42;0;16000;0;1;4;0;1;9,68
37;1;40000;0;1;1;0;1;10,60
34;0;6300;0;1;1;0;3;8,75
53;0;20000;1;0;2;0;2;9,90
30;0;12000;0;1;2;0;1;9,39
46;1;20000;1;1;2;0;1;9,90
40;0;12000;1;1;2;0;2;9,39
53;0;6000;0;0;0;0;1;8,70
